"to shower|take a shower","ich dusche, du duschst, er/sie/es duscht, wir duschen, ihr duscht, sie duschen"
"to roll(eg rolling ball)","ich rolle, du rollst, er/sie/es rollt, wir rollen, ihr rollt, sie rollen"
"to circle|revolve","ich kreise, du kreist, er/sie/es kreist, wir kreisen, ihr kreist, sie kreisen"
"to climb","ich klettere, du kletterst, er/sie/es klettert, wir klettern, ihr klettert, sie klettern"
"to flow","ich fließe, du fließt, er/sie/es fließt, wir fließen, ihr fließt, sie fließen"
"to throw","ich werfe, du wirfst, er/sie/es wirft, wir werfen, ihr werft, sie werfen"
"to set| to seat(someone)","ich setze, du setzt, er/sie/es setzt, wir setzen, ihr setzt, sie setzen"
"to expect|anticipate so/sth","ich erwarte, du erwartest, er/sie/es erwartet, wir erwarten, ihr erwartet, sie erwarten"
"to share|divide|split sth","ich teile, du teilst, er/sie/es teilt, wir teilen, ihr teilt, sie teilen"
"to practise|train|rehearse","ich übe, du übst, er/sie/es übt, wir üben, ihr übt, sie üben"
